epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1173.05,0.45552,0.32787,0.8853,0.86948,0.81893,0.86221,0.65103,0.89719,0.7719,1.15727,0.000713,0.000713,0.000713
67,1190.46,0.44901,0.32294,0.8812,0.81978,0.8263,0.83745,0.63048,0.90733,0.84118,1.14352,0.0006932,0.0006932,0.0006932
68,1207.87,0.43538,0.31634,0.87416,0.85705,0.78165,0.84627,0.64638,0.88144,0.78705,1.14095,0.0006734,0.0006734,0.0006734
69,1225.38,0.4343,0.31201,0.87288,0.8335,0.82666,0.84961,0.63668,0.90284,0.79938,1.14646,0.0006536,0.0006536,0.0006536
70,1242.73,0.42324,0.30494,0.86895,0.83596,0.8422,0.87332,0.6602,0.87288,0.75856,1.12907,0.0006338,0.0006338,0.0006338
71,1260.13,0.41861,0.30651,0.86548,0.82969,0.83129,0.86745,0.65381,0.89174,0.77031,1.1412,0.000614,0.000614,0.000614
72,1277.93,0.40792,0.29588,0.86277,0.84713,0.8236,0.86603,0.64953,0.87873,0.82324,1.14546,0.0005942,0.0005942,0.0005942
73,1295.59,0.39672,0.29382,0.85835,0.88046,0.79732,0.85759,0.64382,0.89519,0.8241,1.14737,0.0005744,0.0005744,0.0005744
74,1312.87,0.39576,0.28605,0.85731,0.84886,0.80183,0.83158,0.62607,0.89266,0.85944,1.15428,0.0005546,0.0005546,0.0005546
75,1330.04,0.38795,0.28334,0.85459,0.86321,0.82752,0.86036,0.64629,0.88515,0.77247,1.15022,0.0005348,0.0005348,0.0005348
76,1347.86,0.37925,0.28196,0.8505,0.89229,0.79817,0.85968,0.64889,0.86972,0.77018,1.13169,0.000515,0.000515,0.000515
77,1365.57,0.38052,0.28025,0.85197,0.84832,0.84147,0.85384,0.64174,0.88407,0.8014,1.14593,0.0004952,0.0004952,0.0004952
78,1383.43,0.36491,0.27043,0.84501,0.85791,0.81468,0.86151,0.64979,0.90158,0.80008,1.15187,0.0004754,0.0004754,0.0004754
79,1400.83,0.36391,0.26688,0.84498,0.84224,0.76514,0.82589,0.63157,0.9007,0.89105,1.17658,0.0004556,0.0004556,0.0004556
80,1418.1,0.35196,0.26035,0.84205,0.83392,0.81999,0.84996,0.63712,0.90493,0.81879,1.1678,0.0004358,0.0004358,0.0004358
81,1435.63,0.34715,0.25965,0.8392,0.85565,0.8157,0.84818,0.63951,0.89552,0.78999,1.16387,0.000416,0.000416,0.000416
82,1453.11,0.34862,0.25926,0.8381,0.86634,0.80734,0.84556,0.6446,0.87315,0.80207,1.14887,0.0003962,0.0003962,0.0003962
83,1471.02,0.33772,0.25413,0.83678,0.85062,0.79083,0.82816,0.62743,0.89178,0.88412,1.16539,0.0003764,0.0003764,0.0003764
84,1488.82,0.33236,0.25464,0.83349,0.86206,0.80367,0.8278,0.623,0.89825,0.90074,1.17279,0.0003566,0.0003566,0.0003566
85,1506.53,0.32561,0.24693,0.831,0.88197,0.80896,0.86126,0.65077,0.87304,0.80356,1.16282,0.0003368,0.0003368,0.0003368
86,1524.23,0.32112,0.24317,0.83189,0.83524,0.82752,0.84939,0.64451,0.87041,0.82614,1.1621,0.000317,0.000317,0.000317
87,1541.81,0.31853,0.24391,0.82853,0.83976,0.8422,0.84461,0.64165,0.88837,0.81984,1.1686,0.0002972,0.0002972,0.0002972
88,1559.29,0.30823,0.23802,0.82552,0.84286,0.81686,0.83579,0.63289,0.88655,0.84211,1.17266,0.0002774,0.0002774,0.0002774
89,1577.2,0.30227,0.23487,0.82365,0.8422,0.81468,0.84527,0.63787,0.87924,0.83763,1.16102,0.0002576,0.0002576,0.0002576
90,1594.78,0.29115,0.22646,0.82042,0.8264,0.83486,0.83664,0.63725,0.89218,0.86455,1.17978,0.0002378,0.0002378,0.0002378
91,1661.71,0.29194,0.23155,0.82196,0.85279,0.8055,0.85154,0.63773,0.89934,0.83085,1.17984,0.000218,0.000218,0.000218
92,1679.64,0.29022,0.22814,0.82051,0.84921,0.81651,0.84007,0.63169,0.8794,0.84104,1.16127,0.0001982,0.0001982,0.0001982
93,1697.31,0.28295,0.2216,0.81917,0.86707,0.80185,0.85317,0.64681,0.87161,0.80587,1.16114,0.0001784,0.0001784,0.0001784
94,1715.2,0.27636,0.22005,0.81667,0.85096,0.8,0.8461,0.64325,0.86566,0.83358,1.16401,0.0001586,0.0001586,0.0001586
95,1732.94,0.27134,0.21603,0.81489,0.82333,0.82202,0.84158,0.64106,0.86144,0.8349,1.15757,0.0001388,0.0001388,0.0001388
96,1750.36,0.26777,0.21534,0.81575,0.85579,0.77248,0.82712,0.63426,0.86222,0.85211,1.16421,0.000119,0.000119,0.000119
97,1767.67,0.26116,0.21268,0.81237,0.85003,0.80081,0.83524,0.63861,0.85778,0.825,1.16546,9.92e-05,9.92e-05,9.92e-05
98,1785.21,0.26209,0.21207,0.81588,0.84467,0.79817,0.83248,0.63475,0.86234,0.83314,1.15879,7.94e-05,7.94e-05,7.94e-05
99,1802.93,0.25642,0.20737,0.81206,0.86436,0.8,0.84922,0.64585,0.85977,0.80706,1.15451,5.96e-05,5.96e-05,5.96e-05
100,1820.59,0.25108,0.2049,0.81117,0.86042,0.79176,0.84723,0.64127,0.86302,0.8178,1.16291,3.98e-05,3.98e-05,3.98e-05
